course_code,phase,filename,type,canonical_filename,raw_extracted_path,sha256
XCT3002,pre_mid,WILP_L2(5)_Sewerage System.pdf,LECTURE_NOTE,L02_5_sewerage_system.pdf,raw/materials/extracted_pre_mid/Fwd_ Course Materials - Environmental Engineering (XCT 3002)/WILP_L2(5)_Sewerage System.pdf,55265d611690b2a6ff5c594af01c904ddf32c165424664ba82db1239bace03d0
XCT3002,pre_mid,WILP_L3_Intro to Water Treatment.pdf,LECTURE_NOTE,L03_intro_to_water_treatment.pdf,raw/materials/extracted_pre_mid/Fwd_ Course Materials - Environmental Engineering (XCT 3002)/WILP_L3_Intro to Water Treatment.pdf,266a4619fa143efcba51494231e8f7ebff7f4057bff1e3ef728a100af9743bf2
XCT3002,pre_mid,WILP_L4_Aerators.pdf,LECTURE_NOTE,L04_aerators.pdf,raw/materials/extracted_pre_mid/Fwd_ Course Materials - Environmental Engineering (XCT 3002)/WILP_L4_Aerators.pdf,58b37ebfc6f29e5ff9f571bca2e947183a2c1b3da6081f9251cbf216c3a7e80c
XCT3002,pre_mid,WILP_L5_Coagulation  Flocculation.pdf,LECTURE_NOTE,L05_coagulation_flocculation.pdf,raw/materials/extracted_pre_mid/Fwd_ Course Materials - Environmental Engineering (XCT 3002)/WILP_L5_Coagulation  Flocculation.pdf,de960923e57c668005566835c0f09c4a4fc2f980400604abf68ef9c1d9ae0cec
XCT3002,pre_mid,WILP_L6_Water Softening.pdf,LECTURE_NOTE,L06_water_softening.pdf,raw/materials/extracted_pre_mid/Fwd_ Course Materials - Environmental Engineering (XCT 3002)/WILP_L6_Water Softening.pdf,55026a6ec1090dc757a152f8aba7d8046ed7c0e3e709444fe80cc2ce48803a90
XCT3002,pre_mid,WILP_L7_Settling.pdf,LECTURE_NOTE,L07_settling.pdf,raw/materials/extracted_pre_mid/Fwd_ Course Materials - Environmental Engineering (XCT 3002)/WILP_L7_Settling.pdf,4880c02a80d8fec812fab00850a0b644850f1eab5780a315f3ee083b4a407dfc
XCT3002,pre_mid,WILP_L8_Filtration.pdf,LECTURE_NOTE,L08_filtration.pdf,raw/materials/extracted_pre_mid/Fwd_ Course Materials - Environmental Engineering (XCT 3002)/WILP_L8_Filtration.pdf,db3f4d39564605592c3b363a6a0a869d2b60799d8ee14c05fb1479896ba5f3aa
XCT3002,pre_mid,WILP_L9_Disinfection.pdf,LECTURE_NOTE,L09_disinfection.pdf,raw/materials/extracted_pre_mid/Fwd_ Course Materials - Environmental Engineering (XCT 3002)/WILP_L9_Disinfection.pdf,4108ca6a7bfa454ba2bb4d93ebad5c30534070ce34404889ea4b4d914e67133b
XCT3002,pre_mid,Question Bank_Aerators.pdf,QUESTION_BANK,QB_aerators.pdf,raw/materials/extracted_pre_mid/Fwd_ Course Materials - Environmental Engineering (XCT 3002)/Question Bank_Aerators.pdf,837f2c239b4c3355bcd15999865295aa65344d3a728719ddedb01016e0f65129
XCT3002,pre_mid,Question Bank_Coagulation  Flocculation.pdf,QUESTION_BANK,QB_coagulation_flocculation.pdf,raw/materials/extracted_pre_mid/Fwd_ Course Materials - Environmental Engineering (XCT 3002)/Question Bank_Coagulation  Flocculation.pdf,2259a25a6f654d12fdeb8d17be463af31d1de10b5e2f73889c443f550b7f3146
XCT3002,pre_mid,Question Bank_Disinfection.pdf,QUESTION_BANK,QB_disinfection.pdf,raw/materials/extracted_pre_mid/Fwd_ Course Materials - Environmental Engineering (XCT 3002)/Question Bank_Disinfection.pdf,219769522f66d504e8fa91d6bd7277908759120064461b1c3646e0b112243c5d
XCT3002,pre_mid,Question Bank_Filtation.pdf,QUESTION_BANK,QB_filtation.pdf,raw/materials/extracted_pre_mid/Fwd_ Course Materials - Environmental Engineering (XCT 3002)/Question Bank_Filtation.pdf,d4897c39bff208c90bb909347ba524aae8870aed2bbfa12d9bf9bb16ce4e0d3c
XCT3002,pre_mid,Question Bank_Settling.pdf,QUESTION_BANK,QB_settling.pdf,raw/materials/extracted_pre_mid/Fwd_ Course Materials - Environmental Engineering (XCT 3002)/Question Bank_Settling.pdf,45e959c4b74ead610ba8fe33ee0ae90982585f1bdc3a7ea75f0527e9d90fb5cb
XCT3002,pre_mid,Question Bank_Water Softening.pdf,QUESTION_BANK,QB_water_softening.pdf,raw/materials/extracted_pre_mid/Fwd_ Course Materials - Environmental Engineering (XCT 3002)/Question Bank_Water Softening.pdf,28504266c24cc866935decc68fc23a9b9d24b399741c37a9deb9824801b1517e
XCT3002,pre_mid,Env Engg XCT 3002.docx,SYLLABUS,Env Engg XCT 3002.docx,raw/materials/extracted_pre_mid/Fwd_ Course Materials - Environmental Engineering (XCT 3002)/Env Engg XCT 3002.docx,1b4f4492febae89af8f84b502fb1095317ec2bee01c90d1bc7e3237f60b3f200
